,episode,score,Q_sum
573,573.0,1.0,35218.033187916735
574,574.0,0.0,35228.84767366879
575,575.0,0.0,35263.14873044172
576,576.0,1.0,35245.57661601427
577,577.0,0.0,35226.75176314335
578,578.0,0.0,35227.82277296022
579,579.0,2.0,35230.06475833777
580,580.0,0.0,35280.67634781111
581,581.0,1.0,35301.993545136225
582,582.0,1.0,35303.14114753913
583,583.0,0.0,35303.78979662473
584,584.0,0.0,35307.83067347537
585,585.0,0.0,35306.46482643996
586,586.0,0.0,35342.78930307794
587,587.0,0.0,35348.196564566
588,588.0,0.0,35379.90496131046
589,589.0,0.0,35379.948107500124
590,590.0,0.0,35354.5169675218
591,591.0,0.0,35345.23017545359
592,592.0,0.0,35304.85726584856
593,593.0,0.0,35287.556227373934
594,594.0,0.0,35262.16649435663
595,595.0,0.0,35255.11102424051
596,596.0,0.0,35230.96126126505
597,597.0,0.0,35213.74856346647
598,598.0,0.0,35197.184387645735
599,599.0,0.0,35227.42008840508
600,600.0,1.0,35238.155834987076
601,601.0,0.0,35229.49746294294
602,602.0,0.0,35235.0445838856
603,603.0,2.0,35312.06641266216
604,604.0,0.0,35312.58129995241
605,605.0,0.0,35327.02612359702
606,606.0,0.0,35312.98064879908
607,607.0,1.0,35317.33782661512
608,608.0,0.0,35316.38207688085
609,609.0,1.0,35312.36612764251
610,610.0,1.0,35317.80150238187
611,611.0,1.0,35341.99551331082
612,612.0,0.0,35345.42786255645
613,613.0,0.0,35343.62673464811
614,614.0,0.0,35346.996509952776
615,615.0,0.0,35345.08791842131
616,616.0,0.0,35364.82125306252
617,617.0,0.0,35362.71274387256
618,618.0,0.0,35358.745567616694
619,619.0,0.0,35355.280321183345
620,620.0,0.0,35365.234275437266
621,621.0,0.0,35365.145644415825
622,622.0,0.0,35363.88381450862
623,623.0,1.0,35379.52675481446
624,624.0,0.0,35377.31680620791
625,625.0,0.0,35387.16462091635
626,626.0,1.0,35407.09077967261
627,627.0,1.0,35402.639877930495
628,628.0,0.0,35414.123575929254
629,629.0,0.0,35412.00047390009
